epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,20836.3,1.70362,1.08531,1.19664,0.80347,0.64962,0.71508,0.35734,1.74176,1.00716,1.25031,0.001783,0.001783,0.001783
85,21083.6,1.70945,1.09075,1.19816,0.80545,0.6489,0.7152,0.3577,1.74147,1.00613,1.24988,0.001684,0.001684,0.001684
86,21331.1,1.69801,1.08005,1.19119,0.80546,0.64929,0.71511,0.35755,1.74128,1.0051,1.24946,0.001585,0.001585,0.001585
87,21579.1,1.69334,1.07651,1.18919,0.80518,0.64913,0.71492,0.35773,1.74094,1.0042,1.24907,0.001486,0.001486,0.001486
88,21827.2,1.68668,1.06593,1.18839,0.80251,0.65021,0.71454,0.35782,1.74082,1.00334,1.24867,0.001387,0.001387,0.001387
89,22074.4,1.68207,1.06391,1.18519,0.80329,0.65025,0.71537,0.35786,1.74066,1.00253,1.24815,0.001288,0.001288,0.001288
90,22322.8,1.67845,1.06102,1.18291,0.80204,0.65138,0.71585,0.35815,1.74037,1.00184,1.24779,0.001189,0.001189,0.001189
91,22623.9,1.64547,0.98423,1.19465,0.80155,0.65229,0.7162,0.35848,1.74038,1.00095,1.24761,0.00109,0.00109,0.00109
92,22871.6,1.63547,0.97315,1.18959,0.8012,0.65176,0.71588,0.35858,1.74026,1.00035,1.24752,0.000991,0.000991,0.000991
93,23119.9,1.63198,0.96761,1.18733,0.80076,0.65231,0.71588,0.35854,1.74045,0.99934,1.2474,0.000892,0.000892,0.000892
94,23368.5,1.61838,0.96159,1.1825,0.8017,0.65221,0.71588,0.35883,1.7407,0.99908,1.24729,0.000793,0.000793,0.000793
95,23617.1,1.61311,0.95415,1.1787,0.8025,0.65246,0.71603,0.35889,1.74066,0.99865,1.24716,0.000694,0.000694,0.000694
96,23865.6,1.60575,0.94695,1.17769,0.80153,0.65362,0.71682,0.35869,1.74085,0.99805,1.24706,0.000595,0.000595,0.000595
97,24114.3,1.60022,0.94068,1.17315,0.80302,0.65254,0.71678,0.35871,1.74067,0.9976,1.24681,0.000496,0.000496,0.000496
98,24363.1,1.59339,0.93583,1.17175,0.80425,0.65249,0.71693,0.35887,1.74081,0.99698,1.24673,0.000397,0.000397,0.000397
99,24611.5,1.58686,0.92852,1.16812,0.80303,0.65391,0.71745,0.35877,1.74089,0.99643,1.24664,0.000298,0.000298,0.000298
100,24860.2,1.58784,0.92573,1.1686,0.80226,0.65487,0.71809,0.35891,1.74128,0.99596,1.2465,0.000199,0.000199,0.000199
